id,name,category,price,description
"p1703123456001","Coca Cola","Beverages",15.99,"Refreshing cola drink, 330ml can"
"p1703123456002","White Bread","Bakery",12.50,"Fresh white bread loaf"
"p1703123456003","Full Cream Milk","Dairy",18.75,"Fresh full cream milk, 1L"
"p1703123456004","Bananas","Fruits",25.00,"Fresh bananas per kilogram"
"p1703123456005","Phone Case","Electronics",89.99,"Universal smartphone protective case"
"p1703123456006","Chocolate Bar","Confectionery",8.99,"Premium milk chocolate bar"
"p1703123456007","Potato Chips","Snacks",22.50,"Crispy potato chips, large bag"
"p1703123456008","Energy Drink","Beverages",28.99,"High caffeine energy drink, 500ml"
"p1703123456009","Cigarettes","Tobacco",85.00,"Premium cigarettes pack"
"p1703123456010","Bottled Water","Beverages",12.00,"Pure spring water, 1.5L bottle"
"p1703123456011","Ground Coffee","Beverages",45.99,"Premium ground coffee beans"
"p1703123456012","Toilet Paper","Household",35.50,"Soft toilet paper, 12 pack"
"p1703123456013","Shampoo","Personal Care",24.99,"Hair care shampoo, various brands"
"p1703123456014","Breakfast Cereal","Food",32.99,"Nutritious breakfast cereal"
"p1703123456015","Frozen Pizza","Frozen Foods",58.99,"Delicious frozen pizza, assorted"
"p1703123456016","Pasta","Food",18.50,"Quality pasta, various types"
"p1703123456017","Cooking Oil","Food",28.75,"Premium cooking oil, 1L bottle"
"p1703123456018","Rice","Food",42.99,"Quality rice, 2kg bag"
"p1703123456019","Washing Powder","Household",65.00,"Effective washing powder, 2kg"
"p1703123456020","Soap Bars","Personal Care",15.99,"Quality soap bars, multipack"
